epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.16502,2.87753,3.87918,1.17174,0.00208,0.03521,0.00108,0.00034,2.89482,3.78697,1.09049,0,0,0
2,7.84316,2.92121,3.90856,1.217,0.00208,0.03521,0.0011,0.00035,2.87259,3.77899,1.08097,1.9802e-05,1.9802e-05,1.9802e-05
3,11.8211,2.75465,3.93749,1.20675,0.00333,0.05634,0.00178,0.00044,2.84712,3.77122,1.0706,3.9208e-05,3.9208e-05,3.9208e-05
4,15.8483,2.71219,3.75595,1.10431,0.00708,0.11972,0.004,0.00106,2.79773,3.75237,1.05948,5.8218e-05,5.8218e-05,5.8218e-05
5,19.7121,2.66878,3.66294,1.0203,0.01375,0.23239,0.009,0.00229,2.79989,3.73288,1.03793,7.6832e-05,7.6832e-05,7.6832e-05
6,23.6808,2.5684,3.47626,1.04133,0.03125,0.52817,0.02661,0.00704,2.69108,3.66929,1.00538,9.505e-05,9.505e-05,9.505e-05
7,28.4464,2.53241,3.28706,1.02686,0.04208,0.71127,0.05431,0.01445,2.59505,3.61733,0.98457,0.000112872,0.000112872,0.000112872
8,32.2525,2.49087,2.96994,1.00354,0.04917,0.83099,0.07086,0.02166,2.45958,3.55586,0.95662,0.000130298,0.000130298,0.000130298
9,36.0788,2.3555,2.65009,1.02615,0.05167,0.87324,0.08114,0.02753,2.31335,3.50224,0.93643,0.000147328,0.000147328,0.000147328
10,39.8083,2.51167,2.32103,1.01213,0.0525,0.88732,0.08984,0.02833,2.26832,3.46879,0.92388,0.000163962,0.000163962,0.000163962
11,43.7429,2.26884,1.72838,1.00137,0.05208,0.88028,0.09422,0.02831,2.24917,3.44102,0.92018,0.0001802,0.0001802,0.0001802
12,47.2945,2.4858,1.64728,0.99779,0.0525,0.88732,0.09903,0.02837,2.25947,3.41271,0.92049,0.000196042,0.000196042,0.000196042
13,51.1211,2.60139,1.5545,1.06306,0.05083,0.85915,0.09619,0.02833,2.30351,3.37348,0.92138,0.000211488,0.000211488,0.000211488
14,54.8034,2.38105,1.4542,1.01478,0.05,0.84507,0.0979,0.03042,2.30848,3.32809,0.91254,0.000226538,0.000226538,0.000226538
15,59.1274,2.33405,1.52465,1.13743,0.0475,0.80282,0.0926,0.02987,2.29731,3.29631,0.91334,0.000241192,0.000241192,0.000241192
16,62.9168,2.41872,1.47464,0.96716,0.04542,0.76761,0.08534,0.02653,2.27979,3.28575,0.91942,0.00025545,0.00025545,0.00025545
17,68.4326,2.32884,1.52934,0.98344,0.04375,0.73944,0.08188,0.02497,2.22841,3.26056,0.92014,0.000269312,0.000269312,0.000269312
18,72.5596,2.33893,1.39773,1.04797,0.04375,0.73944,0.08188,0.02497,2.22841,3.26056,0.92014,0.000282778,0.000282778,0.000282778
19,76.2466,2.24338,1.43646,1.09176,0.04417,0.74648,0.0819,0.02455,2.17433,3.23466,0.91824,0.000295848,0.000295848,0.000295848
20,80.032,2.22655,1.42541,1.05899,0.04417,0.74648,0.0819,0.02455,2.17433,3.23466,0.91824,0.000308522,0.000308522,0.000308522
21,84.2776,2.35584,1.2314,1.07848,0.045,0.76056,0.08049,0.02423,2.17149,3.21623,0.91569,0.0003208,0.0003208,0.0003208
22,88.0332,2.31835,1.26199,1.00839,0.045,0.76056,0.08049,0.02423,2.17149,3.21623,0.91569,0.000332682,0.000332682,0.000332682
23,91.8103,2.31761,1.28804,1.03903,0.04583,0.77465,0.07459,0.02284,2.25804,3.21442,0.92196,0.000344168,0.000344168,0.000344168
24,95.6093,2.29624,1.30754,1.04217,0.04583,0.77465,0.07459,0.02284,2.25804,3.21442,0.92196,0.000355258,0.000355258,0.000355258
25,99.8985,2.27082,1.37026,1.0617,0.0475,0.80282,0.07596,0.02279,2.30409,3.2001,0.92009,0.000365952,0.000365952,0.000365952
26,103.696,2.35778,1.35506,0.94916,0.0475,0.80282,0.07596,0.02279,2.30409,3.2001,0.92009,0.00037625,0.00037625,0.00037625
27,107.591,2.21704,1.30615,0.93724,0.04833,0.8169,0.0747,0.02375,2.29642,3.17028,0.91655,0.000386152,0.000386152,0.000386152
28,111.448,2.27102,1.31185,0.92736,0.04833,0.8169,0.0747,0.02375,2.29642,3.17028,0.91655,0.000395658,0.000395658,0.000395658
29,115.683,2.33542,1.34472,0.95381,0.04917,0.83099,0.07293,0.02464,2.35272,3.12547,0.91988,0.000404768,0.000404768,0.000404768
30,120.445,2.25864,1.34427,0.96421,0.04917,0.83099,0.07293,0.02464,2.35272,3.12547,0.91988,0.000413482,0.000413482,0.000413482
31,124.603,2.1739,1.30581,0.93815,0.055,0.92958,0.10002,0.03353,2.25797,3.04477,0.91363,0.0004218,0.0004218,0.0004218
32,131.053,2.21684,1.37963,1.06447,0.055,0.92958,0.10002,0.03353,2.25797,3.04477,0.91363,0.000429722,0.000429722,0.000429722
33,137.905,2.29131,1.27427,0.92568,0.05625,0.9507,0.14646,0.05182,2.15811,2.96102,0.90899,0.000437248,0.000437248,0.000437248
34,142.668,2.37411,1.22533,0.93468,0.05625,0.9507,0.14646,0.05182,2.15811,2.96102,0.90899,0.000444378,0.000444378,0.000444378
35,146.729,2.19817,1.22883,0.97318,0.05667,0.95775,0.23318,0.07673,2.14814,2.89376,0.9074,0.000451112,0.000451112,0.000451112
36,151.245,2.21313,1.20854,1.00106,0.05667,0.95775,0.23318,0.07673,2.14814,2.89376,0.9074,0.00045745,0.00045745,0.00045745
37,155.719,2.15495,1.18358,0.9909,0.05583,0.94366,0.29512,0.10935,2.1363,2.81727,0.91027,0.000463392,0.000463392,0.000463392
38,159.966,2.0383,1.15462,0.96449,0.05583,0.94366,0.29512,0.10935,2.1363,2.81727,0.91027,0.000468938,0.000468938,0.000468938
39,164.65,2.35667,1.12615,0.97065,0.05625,0.9507,0.40425,0.13363,2.21064,2.76155,0.92002,0.000474088,0.000474088,0.000474088
40,168.793,2.253,1.27656,0.93529,0.05625,0.9507,0.40425,0.13363,2.21064,2.76155,0.92002,0.000478842,0.000478842,0.000478842
41,172.843,2.19539,1.14071,0.97991,0.0575,0.97183,0.44217,0.13097,2.30722,2.74277,0.93249,0.0004832,0.0004832,0.0004832
